WK_Nummer;WK_Bezeichnung;Wahlberechtigte_2016;Waehler_2016;UngueltigeStimmen_2016;GueltigeStimmen_2016;CDU_2016;GRUENE_2016;SPD_2016;FDP_2016;LINKE_2016;PIRATEN_2016;REP_2016;NPD_2016;OEDP_2016;PARTEI_2016;BUESO_2016;DKP_2016;ALFA_2016;TIERSCHUTZALLIANZ_2016;AFD_2016;ARMINIUS_2016;BUENDNIS_C_2016;EINHEIT_2016;RECHTE_2016;FWG_2016;MENSCHLICHE_WELT_2016;TIERSCHUTZPARTEI_2016;EINZELBEWERBER2016;Wahlberechtigte_2011;Waehler_2011;UngueltigeStimmen_2011;GueltigeStimmen_2011;CDU_2011;GRUENE_2011;SPD_2011;FDP_2011;LINKE_2011;PIRATEN_2011;REP_2011;NPD_2011;OEDP_2011;PARTEI_2011;BUESO_2011;DKP_2011;ALFA_2011;TIERSCHUTZALLIANZ_2011;AFD_2011;ARMINIUS_2011;BUENDNIS_C_2011;EINHEIT_2011;RECHTE_2011;FWG_2011;MENSCHLICHE_WELT_2011;TIERSCHUTZPARTEI_2011;EINZELBEWERBER2011;SONSTIGE_2011
53;Rottweil;102.909;71.761;809;70.952;23.421;18.475;6.113;6.023;1.322;0;270;394;1.314;0;0;0;1.104;0;11.634;0;0;0;0;882;0;0;0;103.723;68.115;1.621;66.494;30.505;11.508;12.940;3.869;1.569;1.370;727;1.019;2.562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425
54;Villingen-Schwenningen;120.201;82.316;891;81.425;23.621;25.735;8.179;6.437;1.619;0;135;690;439;676;0;0;993;0;12.065;0;0;0;0;836;0;0;0;121.863;75.656;1.135;74.521;31.757;16.698;16.535;3.780;1.692;1.230;400;1.263;571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595
55;Tuttlingen-Donaueschingen;124.002;85.358;869;84.489;28.510;22.784;7.467;7.023;1.797;0;195;599;476;0;0;0;1.137;480;13.411;0;0;0;0;0;0;610;0;124.454;77.629;1.115;76.514;35.461;13.371;16.089;5.322;2.006;1.461;657;1.163;984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;Konstanz;101.097;71.676;580;71.096;16.073;28.182;8.701;6.447;2.745;0;76;174;382;0;0;0;709;0;6.706;0;0;0;0;0;0;901;0;98.035;65.486;797;64.689;21.211;22.428;13.125;3.544;1.760;1.608;222;334;457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;Singen;101.362;67.528;723;66.805;18.559;19.208;8.549;5.529;1.443;0;133;398;423;482;0;0;622;0;10.517;0;0;0;0;942;0;0;0;100.395;60.936;1.102;59.834;23.994;13.500;14.012;3.616;1.783;1.340;384;640;565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;L_rrach;125.929;81.762;981;80.781;20.321;25.619;13.462;5.270;2.198;669;317;402;475;550;0;0;810;0;10.688;0;0;0;0;0;0;0;0;124.680;74.992;1.306;73.686;23.421;20.631;20.401;3.582;1.971;1.427;965;669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619
59;Waldshut;122.603;79.058;876;78.182;24.097;23.768;9.601;5.803;1.725;646;542;275;444;0;0;0;707;0;9.646;0;0;0;0;928;0;0;0;122.040;73.771;1.158;72.613;28.482;16.737;17.987;3.828;1.617;1.300;1.290;546;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;Reutlingen;129.453;91.026;948;90.078;21.489;28.073;12.829;7.590;3.049;777;200;271;522;681;0;0;992;0;13.605;0;0;0;0;0;0;0;0;126.445;85.256;974;84.282;30.577;21.607;20.842;4.802;2.393;1.552;673;648;593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595
61;Hechingen-MÙnsingen;118.891;86.211;1.029;85.182;24.300;23.657;9.592;9.733;1.855;0;336;429;670;0;0;0;915;0;13.695;0;0;0;0;0;0;0;0;119.261;81.421;1.233;80.188;35.675;15.119;17.114;5.934;2.276;1.567;957;881;665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;TÙbingen;134.937;100.803;650;100.153;23.846;37.712;12.640;6.491;5.305;725;247;297;687;715;0;0;1.136;0;10.352;0;0;0;0;0;0;0;0;130.515;95.804;850;94.954;30.479;30.500;20.739;4.712;3.378;2.104;924;599;453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.066
63;Balingen;114.773;77.840;711;77.129;22.676;22.365;7.660;6.266;1.804;0;309;499;593;0;0;0;998;0;13.959;0;0;0;0;0;0;0;0;116.167;73.860;1.151;72.709;33.657;12.264;17.409;3.178;1.916;1.589;886;1.033;777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;Ulm;120.198;80.564;608;79.956;20.121;26.419;11.781;5.867;2.324;817;156;260;523;596;0;0;738;0;10.354;0;0;0;0;0;0;0;0;118.642;76.601;916;75.685;29.192;18.709;18.102;3.072;2.169;1.911;615;636;451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;828
65;Ehingen;100.506;72.106;717;71.389;25.879;19.692;6.469;4.676;1.117;0;324;427;787;0;0;0;640;0;11.378;0;0;0;0;0;0;0;0;100.236;67.692;878;66.814;34.100;12.844;11.837;2.515;1.310;1.643;859;700;1.006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;Biberach;128.691;91.609;893;90.716;32.540;26.660;6.667;6.491;1.743;0;392;453;942;0;0;0;832;0;13.578;0;0;0;0;0;0;0;418;126.670;82.654;1.117;81.537;41.376;15.321;13.829;3.655;1.921;1.858;1.497;702;1.378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;Bodensee;129.785;93.423;692;92.731;25.391;33.120;9.371;8.473;2.518;0;237;310;955;0;0;0;852;0;11.504;0;0;0;0;0;0;0;0;126.991;85.880;1.009;84.871;32.309;22.358;17.284;5.911;2.725;1.959;624;663;1.038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;Wangen;123.399;85.046;713;84.333;29.639;25.526;6.328;5.149;1.609;0;272;392;1.568;0;0;0;669;0;11.751;0;0;0;0;1.052;378;0;0;120.981;77.195;912;76.283;37.066;17.095;12.494;2.511;1.700;1.425;992;637;2.363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Ravensburg;123.776;86.877;679;86.198;26.709;28.488;7.357;7.845;2.136;0;230;248;1.436;0;0;0;815;0;10.440;0;0;0;0;0;494;0;0;121.831;78.431;921;77.510;33.740;20.253;13.537;3.323;1.904;1.779;711;509;1.754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;Sigmaringen;96.352;67.116;781;66.335;21.398;22.349;4.484;4.998;1.224;0;379;359;441;426;0;0;543;0;9.734;0;0;0;0;0;0;0;0;96.316;61.584;1.041;60.543;30.382;11.685;10.467;2.992;1.223;1.180;1.223;624;767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
